alumno_id;codigo_clase;auton1;condeval1
302010704.0;VRL98NM3;4;5
302010705.0;VRL98NM3;4;2
302010706.0;VRL98NM3;3;4
302010707.0;VRL98NM3;4;1
302010708.0;VRL98NM3;4;3
302010709.0;VRL98NM3;4;4
302010710.0;VRL98NM3;3;3
302010711.0;VRL98NM3;1;1
302010712.0;VRL98NM3;4;1
302010713.0;VRL98NM3;4;5
302010714.0;VRL98NM3;5;4
302010715.0;VRL98NM3;1;3
302010716.0;VRL98NM3;4;1
302010717.0;VRL98NM3;4;3
302010801.0;LLVG3FAM;2;2
302010802.0;LLVG3FAM;4;4
302010803.0;LLVG3FAM;4;2
302010804.0;LLVG3FAM;4;4
302010805.0;LLVG3FAM;3;3
302010806.0;LLVG3FAM;4;4
302010807.0;LLVG3FAM;4;2
302010808.0;LLVG3FAM;3;4
302010809.0;LLVG3FAM;4;1
302010810.0;LLVG3FAM;1;1
302010811.0;LLVG3FAM;3;5
302010812.0;LLVG3FAM;4;3
302010813.0;LLVG3FAM;4;5
302010814.0;LLVG3FAM;5;5
302010815.0;LLVG3FAM;4;5
302010901.0;RTPFY9TB;4;1
302010902.0;RTPFY9TB;4;1
302010903.0;RTPFY9TB;4;3
302010904.0;RTPFY9TB;3;3
302010905.0;RTPFY9TB;5;1
302010906.0;RTPFY9TB;5;5
302010907.0;RTPFY9TB;5;2
302010908.0;RTPFY9TB;4;1
302010909.0;RTPFY9TB;5;4
302010910.0;RTPFY9TB;4;2
302010911.0;RTPFY9TB;5;4
302010912.0;RTPFY9TB;5;3
303010101.0;AN9NDES5;5;5
303010102.0;AN9NDES5;5;1
303010103.0;AN9NDES5;5;1
303010104.0;AN9NDES5;5;5
303010105.0;AN9NDES5;4;3
303010106.0;AN9NDES5;4;1
303010107.0;AN9NDES5;3;3
303010108.0;AN9NDES5;5;3
303010109.0;AN9NDES5;5;1
303010110.0;AN9NDES5;3;1
303010111.0;AN9NDES5;3;3
303010112.0;AN9NDES5;4;5
303010113.0;AN9NDES5;5;1
303010114.0;AN9NDES5;5;1
303010115.0;AN9NDES5;5;5
303010201.0;8URA7GKE;5;3
303010202.0;8URA7GKE;5;5
303010203.0;8URA7GKE;3;4
303010204.0;8URA7GKE;4;5
303010205.0;8URA7GKE;5;1
303010206.0;8URA7GKE;4;4
303010207.0;8URA7GKE;4;3
303010208.0;8URA7GKE;5;4
303010209.0;8URA7GKE;5;2
303010210.0;8URA7GKE;5;4
303010211.0;8URA7GKE;5;2
303010212.0;8URA7GKE;5;4
303010213.0;8URA7GKE;4;2
303010214.0;8URA7GKE;3;4
303010215.0;8URA7GKE;5;5
303010216.0;8URA7GKE;5;3
303010217.0;8URA7GKE;5;1
303010301.0;Q9RT2PXG;4;1
303010302.0;Q9RT2PXG;5;2
303010303.0;Q9RT2PXG;5;1
303010304.0;Q9RT2PXG;5;2
303010305.0;Q9RT2PXG;5;2
303010306.0;Q9RT2PXG;5;2
303010307.0;Q9RT2PXG;5;4
303010308.0;Q9RT2PXG;4;5
303010309.0;Q9RT2PXG;5;1
303010310.0;Q9RT2PXG;5;2
303010311.0;Q9RT2PXG;5;5
303010312.0;Q9RT2PXG;5;3
303010313.0;Q9RT2PXG;5;2
303010314.0;Q9RT2PXG;5;2
303010315.0;Q9RT2PXG;5;1
303010316.0;Q9RT2PXG;4;1
303010317.0;Q9RT2PXG;4;1
303010318.0;Q9RT2PXG;5;5
303010319.0;Q9RT2PXG;4;1
303010320.0;Q9RT2PXG;4;1
303010321.0;Q9RT2PXG;2;5
303010322.0;Q9RT2PXG;4;4
303010323.0;Q9RT2PXG;5;5
303010401.0;DZ4RGU7W;4;1
303010402.0;DZ4RGU7W;5;4
303010403.0;DZ4RGU7W;5;4
303010404.0;DZ4RGU7W;5;2
303010405.0;DZ4RGU7W;4;4
303010406.0;DZ4RGU7W;4;1
303010407.0;DZ4RGU7W;4;1
303010408.0;DZ4RGU7W;4;1
303010409.0;DZ4RGU7W;4;1
303010410.0;DZ4RGU7W;4;2
303010411.0;DZ4RGU7W;3;1
303010412.0;DZ4RGU7W;4;1
303010413.0;DZ4RGU7W;5;1
303010414.0;DZ4RGU7W;5;2
303010415.0;DZ4RGU7W;2;1
303010416.0;DZ4RGU7W;4;2
303010417.0;DZ4RGU7W;3;2
303010501.0;8FMWSRGC;5;1
303010502.0;8FMWSRGC;4;1
303010503.0;8FMWSRGC;5;4
303010504.0;8FMWSRGC;5;5
303010505.0;8FMWSRGC;5;5
303010506.0;8FMWSRGC;5;3
303010507.0;8FMWSRGC;5;3
303010508.0;8FMWSRGC;4;2
303010509.0;8FMWSRGC;2;1
303010510.0;8FMWSRGC;5;3
303010511.0;8FMWSRGC;5;1
303010512.0;8FMWSRGC;5;5
303010513.0;8FMWSRGC;1;1
303010514.0;8FMWSRGC;5;1
303010515.0;8FMWSRGC;2;1
303010601.0;CRZHSJM2;5;1
303010602.0;CRZHSJM2;5;1
303010603.0;CRZHSJM2;4;1
303010604.0;CRZHSJM2;5;4
303010605.0;CRZHSJM2;5;5
303010606.0;CRZHSJM2;5;2
303010607.0;CRZHSJM2;5;1
303010608.0;CRZHSJM2;5;1
303010609.0;CRZHSJM2;5;1
303010610.0;CRZHSJM2;5;5
303010611.0;CRZHSJM2;4;3
303010612.0;CRZHSJM2;4;1
303010613.0;CRZHSJM2;5;1
303010614.0;CRZHSJM2;5;1
303010615.0;CRZHSJM2;5;4
303010616.0;CRZHSJM2;5;3
303010617.0;CRZHSJM2;5;1
303010618.0;CRZHSJM2;5;5
303010619.0;CRZHSJM2;5;5
303010620.0;CRZHSJM2;4;1
303010621.0;CRZHSJM2;5;1
303010622.0;CRZHSJM2;5;2
